Table,Field,Description
line-productivity,,Fact table containing details for each batch produced
line-productivity,Date,Date the batch was produced
line-productivity,Product,ID for the product produced in the batch
line-productivity,Batch,Unique ID for the batch produced
line-productivity,Operator,Production line operator in charge of the batch
line-productivity,Start Time,Time the batch production started
line-productivity,End Time,Time the batch production ended
products,,Dimension table with details on each product
products,Product,Unique product ID
products,Flavor,Soda flavor for the product
products,Size,Product size (volume)
products,Min batch time,Minimum time required to produce a batch (with no downtime)
line-downtime,,Fact table containing downtime (in minutes) by factor for each batch
line-downtime,Batch,Unique ID for the batch produced
line-downtime,Downtime factor,Downtime minutes for each factor ID (across columns)
downtime-factors,,Dimension table with details on each downtime factor
downtime-factors,Factor,Unique ID for each downtime factor
downtime-factors,Description,Downtime factor description
downtime-factors,Operator Error,Is this due to operator error? (Yes/No)
